City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
Sumbe,63,AO,1566671355,88,-11.2,13.84,69.79,9.69
Tiksi,100,RU,1566671357,96,71.64,128.87,48.19,2.98
Cockburn Town,84,TC,1566671325,78,21.46,-71.14,84.01,18.37
Busselton,100,AU,1566670982,56,-33.64,115.35,46.0,11.18
Paragominas,29,BR,1566671360,45,-3.0,-47.35,89.95,7.09
Pareora,66,NZ,1566671361,36,-44.49,171.21,52.0,5.01
Vaini,93,IN,1566671083,91,15.34,74.49,76.27,3.65
Iztapa,20,GT,1566671363,46,13.93,-90.71,93.2,11.41
Bambous Virieux,75,MU,1566670970,83,-20.34,57.76,69.8,5.82
Goderich,1,CA,1566671366,55,43.74,-81.71,73.99,5.01
Codrington,75,AU,1566671367,100,-28.95,153.24,46.99,5.82
Dunedin,93,NZ,1566671368,40,-45.87,170.5,52.0,5.01
Nanortalik,100,GL,1566671369,58,60.14,-45.24,45.49,12.08
Usinsk,100,RU,1566671371,82,66.0,57.56,48.01,8.14
Westport,20,US,1566670992,41,41.14,-73.36,77.0,6.93
Los Llanos de Aridane,0,ES,1566671373,78,28.66,-17.92,77.0,17.22
Ushuaia,40,AR,1566670943,66,-54.81,-68.31,48.2,14.99
Castro,75,CL,1566671218,93,-42.48,-73.76,50.0,11.41
Bow Island,75,CA,1566671377,34,49.87,-111.38,78.8,14.99
Alta Floresta,40,BR,1566671378,36,-9.87,-56.08,95.0,4.7
Kaitangata,55,NZ,1566670997,65,-46.28,169.85,45.0,3.0
East London,0,ZA,1566671011,40,-33.02,27.91,71.6,6.93
Albany,40,US,1566670893,53,42.65,-73.75,73.99,12.75
Diamantino,37,BR,1566671382,16,-14.4,-56.44,98.23,7.65
Hermanus,0,ZA,1566671384,95,-34.42,19.24,66.99,21.9
Qaanaaq,94,GL,1566671385,62,77.48,-69.36,37.57,27.38
Jamestown,0,AU,1566671362,95,-33.21,138.6,38.29,5.06
Plettenberg Bay,0,ZA,1566671387,66,-34.05,23.37,56.83,4.43
Cidreira,9,BR,1566671388,56,-30.17,-50.22,63.49,10.89
Okhotsk,87,RU,1566671389,94,59.36,143.24,52.69,4.74
Kapaa,40,US,1566671391,70,22.08,-159.32,84.2,11.41
Poyarkovo,0,RU,1566671392,91,49.62,128.65,56.83,2.48
Rio Cuarto,76,AR,1566671393,28,-33.13,-64.35,71.6,14.99
Palauig,100,PH,1566671394,81,15.44,119.9,82.93,14.99
Vandoeuvre-les-Nancy,0,FR,1566671395,42,48.65,6.18,82.4,6.93
Barrow,100,AR,1566671396,50,-38.31,-60.23,64.03,15.48
Hilo,90,US,1566671398,74,19.71,-155.08,78.8,4.7
Tasiilaq,20,GL,1566671399,65,65.61,-37.64,46.4,8.05
Shubarkuduk,64,KZ,1566671400,27,49.15,56.49,75.91,4.07
Kachiry,71,KZ,1566671401,73,53.07,76.1,65.29,7.78
Acajutla,0,SV,1566671403,75,13.59,-89.83,83.47,11.43
Lorengau,98,PG,1566671404,84,-2.02,147.27,80.05,8.57
Rikitea,80,PF,1566671364,68,-23.12,-134.97,70.33,20.96
Sistranda,75,NO,1566671407,77,63.73,8.83,64.99,14.99
Punta Arenas,75,CL,1566671409,81,-53.16,-70.91,46.4,8.05
Snezhnogorsk,75,RU,1566671410,70,69.19,33.23,48.2,2.24
Whitianga,97,NZ,1566671411,90,-36.83,175.7,51.01,4.0
Chicama,90,PE,1566671412,77,-7.84,-79.15,64.4,9.17
Puerto Ayora,20,EC,1566671414,57,-0.74,-90.35,80.6,12.75
Ambilobe,38,MG,1566671415,68,-13.19,49.05,72.85,8.55
Severo-Kurilsk,100,RU,1566671416,92,50.68,156.12,47.65,25.12
